"Visualization ID","Mode","Statistic","Year","Value","Units","Name","Year ","Percent_1","change_from_previous_year_1","Commuting Mode","Rank","Date","Year 1"
"Figure_4-5","2009-10-26T00:00:00.000","Diesel - weekly","2009","2.8",,"Gasoline and Diesel Retail Prices","2009",,,,,"10/26/2009","2009"
"Figure_4-5","2009-11-02T00:00:00.000","Gasoline - weekly","2009","2.75",,"Gasoline and Diesel Retail Prices","2009",,,,,"11/02/2009","2009"
"Figure_4-5","2009-11-02T00:00:00.000","Diesel - weekly","2009","2.81",,"Gasoline and Diesel Retail Prices","2009",,,,,"11/02/2009","2009"
"Figure_4-5","2009-11-09T00:00:00.000","Gasoline - weekly","2009","2.72",,"Gasoline and Diesel Retail Prices","2009",,,,,"11/09/2009","2009"
"Figure_4-5","2009-11-09T00:00:00.000","Diesel - weekly","2009","2.8",,"Gasoline and Diesel Retail Prices","2009",,,,,"11/09/2009","2009"
"Figure_4-5","2009-11-16T00:00:00.000","Gasoline - weekly","2009","2.68",,"Gasoline and Diesel Retail Prices","2009",,,,,"11/16/2009","2009"
"Figure_4-5","2009-11-16T00:00:00.000","Diesel - weekly","2009","2.79",,"Gasoline and Diesel Retail Prices","2009",,,,,"11/16/2009","2009"
"Figure_4-5","2009-11-23T00:00:00.000","Gasoline - weekly","2009","2.69",,"Gasoline and Diesel Retail Prices","2009",,,,,"11/23/2009","2009"
"Figure_4-5","2009-11-23T00:00:00.000","Diesel - weekly","2009","2.79",,"Gasoline and Diesel Retail Prices","2009",,,,,"11/23/2009","2009"
"Figure_4-5","2009-11-30T00:00:00.000","Gasoline - weekly","2009","2.68",,"Gasoline and Diesel Retail Prices","2009",,,,,"11/30/2009","2009"
"Figure_4-5","2009-11-30T00:00:00.000","Diesel - weekly","2009","2.78",,"Gasoline and Diesel Retail Prices","2009",,,,,"11/30/2009","2009"
"Figure_4-5","2009-12-07T00:00:00.000","Gasoline - weekly","2009","2.69",,"Gasoline and Diesel Retail Prices","2009",,,,,"12/07/2009","2009"
"Figure_4-5","2009-12-07T00:00:00.000","Diesel - weekly","2009","2.77",,"Gasoline and Diesel Retail Prices","2009",,,,,"12/07/2009","2009"
"Figure_4-5","2009-12-14T00:00:00.000","Gasoline - weekly","2009","2.66",,"Gasoline and Diesel Retail Prices","2009",,,,,"12/14/2009","2009"
"Figure_4-5","2009-12-14T00:00:00.000","Diesel - weekly","2009","2.75",,"Gasoline and Diesel Retail Prices","2009",,,,,"12/14/2009","2009"
"Figure_4-5","2009-12-21T00:00:00.000","Gasoline - weekly","2009","2.65",,"Gasoline and Diesel Retail Prices","2009",,,,,"12/21/2009","2009"
"Figure_4-5","2009-12-21T00:00:00.000","Diesel - weekly","2009","2.73",,"Gasoline and Diesel Retail Prices","2009",,,,,"12/21/2009","2009"
"Figure_4-5","2009-12-28T00:00:00.000","Gasoline - weekly","2009","2.66",,"Gasoline and Diesel Retail Prices","2009",,,,,"12/28/2009","2009"
"Figure_4-5","2009-12-28T00:00:00.000","Diesel - weekly","2009","2.73",,"Gasoline and Diesel Retail Prices","2009",,,,,"12/28/2009","2009"
"Figure_4-5","2010-01-04T00:00:00.000","Gasoline - weekly","2010","2.72",,"Gasoline and Diesel Retail Prices","2010",,,,,"01/04/2010","2010"
"Figure_4-5","2010-01-04T00:00:00.000","Diesel - weekly","2010","2.8",,"Gasoline and Diesel Retail Prices","2010",,,,,"01/04/2010","2010"
"Figure_4-5","2010-01-11T00:00:00.000","Gasoline - weekly","2010","2.8",,"Gasoline and Diesel Retail Prices","2010",,,,,"01/11/2010","2010"
"Figure_4-5","2010-01-11T00:00:00.000","Diesel - weekly","2010","2.88",,"Gasoline and Diesel Retail Prices","2010",,,,,"01/11/2010","2010"
"Figure_4-5","2010-01-18T00:00:00.000","Gasoline - weekly","2010","2.79",,"Gasoline and Diesel Retail Prices","2010",,,,,"01/18/2010","2010"
"Figure_4-5","2010-01-18T00:00:00.000","Diesel - weekly","2010","2.87",,"Gasoline and Diesel Retail Prices","2010",,,,,"01/18/2010","2010"
"Figure_4-5","2010-01-25T00:00:00.000","Gasoline - weekly","2010","2.76",,"Gasoline and Diesel Retail Prices","2010",,,,,"01/25/2010","2010"
"Figure_4-5","2010-01-25T00:00:00.000","Diesel - weekly","2010","2.83",,"Gasoline and Diesel Retail Prices","2010",,,,,"01/25/2010","2010"
"Figure_4-5","2010-02-01T00:00:00.000","Gasoline - weekly","2010","2.72",,"Gasoline and Diesel Retail Prices","2010",,,,,"02/01/2010","2010"
"Figure_4-5","2010-02-01T00:00:00.000","Diesel - weekly","2010","2.78",,"Gasoline and Diesel Retail Prices","2010",,,,,"02/01/2010","2010"
"Figure_4-5","2010-02-08T00:00:00.000","Gasoline - weekly","2010","2.71",,"Gasoline and Diesel Retail Prices","2010",,,,,"02/08/2010","2010"
"Figure_4-5","2010-02-08T00:00:00.000","Diesel - weekly","2010","2.77",,"Gasoline and Diesel Retail Prices","2010",,,,,"02/08/2010","2010"
"Figure_4-5","2010-02-15T00:00:00.000","Gasoline - weekly","2010","2.66",,"Gasoline and Diesel Retail Prices","2010",,,,,"02/15/2010","2010"
"Figure_4-5","2010-02-15T00:00:00.000","Diesel - weekly","2010","2.76",,"Gasoline and Diesel Retail Prices","2010",,,,,"02/15/2010","2010"
"Figure_4-5","2010-02-22T00:00:00.000","Gasoline - weekly","2010","2.71",,"Gasoline and Diesel Retail Prices","2010",,,,,"02/22/2010","2010"
"Figure_4-5","2010-02-22T00:00:00.000","Diesel - weekly","2010","2.83",,"Gasoline and Diesel Retail Prices","2010",,,,,"02/22/2010","2010"
"Figure_4-5","2010-03-01T00:00:00.000","Gasoline - weekly","2010","2.76",,"Gasoline and Diesel Retail Prices","2010",,,,,"03/01/2010","2010"
"Figure_4-5","2010-03-01T00:00:00.000","Diesel - weekly","2010","2.86",,"Gasoline and Diesel Retail Prices","2010",,,,,"03/01/2010","2010"
"Figure_4-5","2010-03-08T00:00:00.000","Gasoline - weekly","2010","2.8",,"Gasoline and Diesel Retail Prices","2010",,,,,"03/08/2010","2010"
"Figure_4-5","2010-03-08T00:00:00.000","Diesel - weekly","2010","2.9",,"Gasoline and Diesel Retail Prices","2010",,,,,"03/08/2010","2010"
"Figure_4-5","2010-03-15T00:00:00.000","Gasoline - weekly","2010","2.84",,"Gasoline and Diesel Retail Prices","2010",,,,,"03/15/2010","2010"
"Figure_4-5","2010-03-15T00:00:00.000","Diesel - weekly","2010","2.92",,"Gasoline and Diesel Retail Prices","2010",,,,,"03/15/2010","2010"
"Figure_4-5","2010-03-22T00:00:00.000","Gasoline - weekly","2010","2.87",,"Gasoline and Diesel Retail Prices","2010",,,,,"03/22/2010","2010"
"Figure_4-5","2010-03-22T00:00:00.000","Diesel - weekly","2010","2.95",,"Gasoline and Diesel Retail Prices","2010",,,,,"03/22/2010","2010"
"Figure_4-5","2010-03-29T00:00:00.000","Gasoline - weekly","2010","2.85",,"Gasoline and Diesel Retail Prices","2010",,,,,"03/29/2010","2010"
"Figure_4-5","2010-03-29T00:00:00.000","Diesel - weekly","2010","2.94",,"Gasoline and Diesel Retail Prices","2010",,,,,"03/29/2010","2010"
"Figure_4-5","2010-04-05T00:00:00.000","Gasoline - weekly","2010","2.88",,"Gasoline and Diesel Retail Prices","2010",,,,,"04/05/2010","2010"
"Figure_4-5","2010-04-05T00:00:00.000","Diesel - weekly","2010","3.02",,"Gasoline and Diesel Retail Prices","2010",,,,,"04/05/2010","2010"
"Figure_4-5","2010-04-12T00:00:00.000","Gasoline - weekly","2010","2.91",,"Gasoline and Diesel Retail Prices","2010",,,,,"04/12/2010","2010"
"Figure_4-5","2010-04-12T00:00:00.000","Diesel - weekly","2010","3.07",,"Gasoline and Diesel Retail Prices","2010",,,,,"04/12/2010","2010"
"Figure_4-5","2010-04-19T00:00:00.000","Gasoline - weekly","2010","2.91",,"Gasoline and Diesel Retail Prices","2010",,,,,"04/19/2010","2010"
"Figure_4-5","2010-04-19T00:00:00.000","Diesel - weekly","2010","3.07",,"Gasoline and Diesel Retail Prices","2010",,,,,"04/19/2010","2010"
"Figure_4-5","2010-04-26T00:00:00.000","Gasoline - weekly","2010","2.9",,"Gasoline and Diesel Retail Prices","2010",,,,,"04/26/2010","2010"
"Figure_4-5","2010-04-26T00:00:00.000","Diesel - weekly","2010","3.08",,"Gasoline and Diesel Retail Prices","2010",,,,,"04/26/2010","2010"
"Figure_4-5","2010-05-03T00:00:00.000","Gasoline - weekly","2010","2.95",,"Gasoline and Diesel Retail Prices","2010",,,,,"05/03/2010","2010"
"Figure_4-5","2010-05-03T00:00:00.000","Diesel - weekly","2010","3.12",,"Gasoline and Diesel Retail Prices","2010",,,,,"05/03/2010","2010"
"Figure_4-5","2010-05-10T00:00:00.000","Gasoline - weekly","2010","2.96",,"Gasoline and Diesel Retail Prices","2010",,,,,"05/10/2010","2010"
"Figure_4-5","2010-05-10T00:00:00.000","Diesel - weekly","2010","3.13",,"Gasoline and Diesel Retail Prices","2010",,,,,"05/10/2010","2010"
"Figure_4-5","2010-05-17T00:00:00.000","Gasoline - weekly","2010","2.92",,"Gasoline and Diesel Retail Prices","2010",,,,,"05/17/2010","2010"
"Figure_4-5","2010-05-17T00:00:00.000","Diesel - weekly","2010","3.09",,"Gasoline and Diesel Retail Prices","2010",,,,,"05/17/2010","2010"
"Figure_4-5","2010-05-24T00:00:00.000","Gasoline - weekly","2010","2.84",,"Gasoline and Diesel Retail Prices","2010",,,,,"05/24/2010","2010"
"Figure_4-5","2010-05-24T00:00:00.000","Diesel - weekly","2010","3.02",,"Gasoline and Diesel Retail Prices","2010",,,,,"05/24/2010","2010"
"Figure_4-5","2010-05-31T00:00:00.000","Gasoline - weekly","2010","2.78",,"Gasoline and Diesel Retail Prices","2010",,,,,"05/31/2010","2010"
"Figure_4-5","2010-05-31T00:00:00.000","Diesel - weekly","2010","2.98",,"Gasoline and Diesel Retail Prices","2010",,,,,"05/31/2010","2010"
"Figure_4-5","2010-06-07T00:00:00.000","Gasoline - weekly","2010","2.78",,"Gasoline and Diesel Retail Prices","2010",,,,,"06/07/2010","2010"
"Figure_4-5","2010-06-07T00:00:00.000","Diesel - weekly","2010","2.95",,"Gasoline and Diesel Retail Prices","2010",,,,,"06/07/2010","2010"
"Figure_4-5","2010-06-14T00:00:00.000","Gasoline - weekly","2010","2.76",,"Gasoline and Diesel Retail Prices","2010",,,,,"06/14/2010","2010"
"Figure_4-5","2010-06-14T00:00:00.000","Diesel - weekly","2010","2.93",,"Gasoline and Diesel Retail Prices","2010",,,,,"06/14/2010","2010"
"Figure_4-5","2010-06-21T00:00:00.000","Gasoline - weekly","2010","2.8",,"Gasoline and Diesel Retail Prices","2010",,,,,"06/21/2010","2010"
"Figure_4-5","2010-06-21T00:00:00.000","Diesel - weekly","2010","2.96",,"Gasoline and Diesel Retail Prices","2010",,,,,"06/21/2010","2010"
"Figure_4-5","2010-06-28T00:00:00.000","Gasoline - weekly","2010","2.81",,"Gasoline and Diesel Retail Prices","2010",,,,,"06/28/2010","2010"
"Figure_4-5","2010-06-28T00:00:00.000","Diesel - weekly","2010","2.96",,"Gasoline and Diesel Retail Prices","2010",,,,,"06/28/2010","2010"
"Figure_4-5","2010-07-05T00:00:00.000","Gasoline - weekly","2010","2.78",,"Gasoline and Diesel Retail Prices","2010",,,,,"07/05/2010","2010"
"Figure_4-5","2010-07-05T00:00:00.000","Diesel - weekly","2010","2.92",,"Gasoline and Diesel Retail Prices","2010",,,,,"07/05/2010","2010"
"Figure_4-5","2010-07-12T00:00:00.000","Gasoline - weekly","2010","2.77",,"Gasoline and Diesel Retail Prices","2010",,,,,"07/12/2010","2010"
"Figure_4-5","2010-07-12T00:00:00.000","Diesel - weekly","2010","2.9",,"Gasoline and Diesel Retail Prices","2010",,,,,"07/12/2010","2010"
"Figure_4-5","2010-07-19T00:00:00.000","Gasoline - weekly","2010","2.78",,"Gasoline and Diesel Retail Prices","2010",,,,,"07/19/2010","2010"
"Figure_4-5","2010-07-19T00:00:00.000","Diesel - weekly","2010","2.9",,"Gasoline and Diesel Retail Prices","2010",,,,,"07/19/2010","2010"
"Figure_4-5","2010-07-26T00:00:00.000","Gasoline - weekly","2010","2.8",,"Gasoline and Diesel Retail Prices","2010",,,,,"07/26/2010","2010"
"Figure_4-5","2010-07-26T00:00:00.000","Diesel - weekly","2010","2.92",,"Gasoline and Diesel Retail Prices","2010",,,,,"07/26/2010","2010"
"Figure_4-5","2010-08-02T00:00:00.000","Gasoline - weekly","2010","2.79",,"Gasoline and Diesel Retail Prices","2010",,,,,"08/02/2010","2010"
"Figure_4-5","2010-08-02T00:00:00.000","Diesel - weekly","2010","2.93",,"Gasoline and Diesel Retail Prices","2010",,,,,"08/02/2010","2010"
"Figure_4-5","2010-08-09T00:00:00.000","Gasoline - weekly","2010","2.84",,"Gasoline and Diesel Retail Prices","2010",,,,,"08/09/2010","2010"
"Figure_4-5","2010-08-09T00:00:00.000","Diesel - weekly","2010","2.99",,"Gasoline and Diesel Retail Prices","2010",,,,,"08/09/2010","2010"
"Figure_4-5","2010-08-16T00:00:00.000","Gasoline - weekly","2010","2.8",,"Gasoline and Diesel Retail Prices","2010",,,,,"08/16/2010","2010"
"Figure_4-5","2010-08-16T00:00:00.000","Diesel - weekly","2010","2.98",,"Gasoline and Diesel Retail Prices","2010",,,,,"08/16/2010","2010"
"Figure_4-5","2010-08-23T00:00:00.000","Gasoline - weekly","2010","2.76",,"Gasoline and Diesel Retail Prices","2010",,,,,"08/23/2010","2010"
"Figure_4-5","2010-08-23T00:00:00.000","Diesel - weekly","2010","2.96",,"Gasoline and Diesel Retail Prices","2010",,,,,"08/23/2010","2010"
"Figure_4-5","2010-08-30T00:00:00.000","Gasoline - weekly","2010","2.74",,"Gasoline and Diesel Retail Prices","2010",,,,,"08/30/2010","2010"
"Figure_4-5","2010-08-30T00:00:00.000","Diesel - weekly","2010","2.94",,"Gasoline and Diesel Retail Prices","2010",,,,,"08/30/2010","2010"
"Figure_4-5","2010-09-06T00:00:00.000","Gasoline - weekly","2010","2.74",,"Gasoline and Diesel Retail Prices","2010",,,,,"09/06/2010","2010"
"Figure_4-5","2010-09-06T00:00:00.000","Diesel - weekly","2010","2.93",,"Gasoline and Diesel Retail Prices","2010",,,,,"09/06/2010","2010"
"Figure_4-5","2010-09-13T00:00:00.000","Gasoline - weekly","2010","2.77",,"Gasoline and Diesel Retail Prices","2010",,,,,"09/13/2010","2010"
"Figure_4-5","2010-09-13T00:00:00.000","Diesel - weekly","2010","2.94",,"Gasoline and Diesel Retail Prices","2010",,,,,"09/13/2010","2010"
"Figure_4-5","2010-09-20T00:00:00.000","Gasoline - weekly","2010","2.78",,"Gasoline and Diesel Retail Prices","2010",,,,,"09/20/2010","2010"
"Figure_4-5","2010-09-20T00:00:00.000","Diesel - weekly","2010","2.96",,"Gasoline and Diesel Retail Prices","2010",,,,,"09/20/2010","2010"
"Figure_4-5","2010-09-27T00:00:00.000","Gasoline - weekly","2010","2.75",,"Gasoline and Diesel Retail Prices","2010",,,,,"09/27/2010","2010"
"Figure_4-5","2010-09-27T00:00:00.000","Diesel - weekly","2010","2.95",,"Gasoline and Diesel Retail Prices","2010",,,,,"09/27/2010","2010"
"Figure_4-5","2010-10-04T00:00:00.000","Gasoline - weekly","2010","2.78",,"Gasoline and Diesel Retail Prices","2010",,,,,"10/04/2010","2010"
"Figure_4-5","2010-10-04T00:00:00.000","Diesel - weekly","2010","3",,"Gasoline and Diesel Retail Prices","2010",,,,,"10/04/2010","2010"
"Figure_4-5","2010-10-11T00:00:00.000","Gasoline - weekly","2010","2.87",,"Gasoline and Diesel Retail Prices","2010",,,,,"10/11/2010","2010"
"Figure_4-5","2010-10-11T00:00:00.000","Diesel - weekly","2010","3.07",,"Gasoline and Diesel Retail Prices","2010",,,,,"10/11/2010","2010"
"Figure_4-5","2010-10-18T00:00:00.000","Gasoline - weekly","2010","2.89",,"Gasoline and Diesel Retail Prices","2010",,,,,"10/18/2010","2010"
"Figure_4-5","2010-10-18T00:00:00.000","Diesel - weekly","2010","3.07",,"Gasoline and Diesel Retail Prices","2010",,,,,"10/18/2010","2010"
"Figure_4-5","2010-10-25T00:00:00.000","Gasoline - weekly","2010","2.87",,"Gasoline and Diesel Retail Prices","2010",,,,,"10/25/2010","2010"
"Figure_4-5","2010-10-25T00:00:00.000","Diesel - weekly","2010","3.07",,"Gasoline and Diesel Retail Prices","2010",,,,,"10/25/2010","2010"
"Figure_4-5","2010-11-01T00:00:00.000","Gasoline - weekly","2010","2.86",,"Gasoline and Diesel Retail Prices","2010",,,,,"11/01/2010","2010"
"Figure_4-5","2010-11-01T00:00:00.000","Diesel - weekly","2010","3.07",,"Gasoline and Diesel Retail Prices","2010",,,,,"11/01/2010","2010"
"Figure_4-5","2010-11-08T00:00:00.000","Gasoline - weekly","2010","2.92",,"Gasoline and Diesel Retail Prices","2010",,,,,"11/08/2010","2010"
"Figure_4-5","2010-11-08T00:00:00.000","Diesel - weekly","2010","3.12",,"Gasoline and Diesel Retail Prices","2010",,,,,"11/08/2010","2010"
"Figure_4-5","2010-11-15T00:00:00.000","Gasoline - weekly","2010","2.94",,"Gasoline and Diesel Retail Prices","2010",,,,,"11/15/2010","2010"
"Figure_4-5","2010-11-15T00:00:00.000","Diesel - weekly","2010","3.18",,"Gasoline and Diesel Retail Prices","2010",,,,,"11/15/2010","2010"
"Figure_4-5","2010-11-22T00:00:00.000","Gasoline - weekly","2010","2.93",,"Gasoline and Diesel Retail Prices","2010",,,,,"11/22/2010","2010"
"Figure_4-5","2010-11-22T00:00:00.000","Diesel - weekly","2010","3.17",,"Gasoline and Diesel Retail Prices","2010",,,,,"11/22/2010","2010"
"Figure_4-5","2010-11-29T00:00:00.000","Gasoline - weekly","2010","2.91",,"Gasoline and Diesel Retail Prices","2010",,,,,"11/29/2010","2010"
"Figure_4-5","2010-11-29T00:00:00.000","Diesel - weekly","2010","3.16",,"Gasoline and Diesel Retail Prices","2010",,,,,"11/29/2010","2010"
"Figure_4-5","2010-12-06T00:00:00.000","Gasoline - weekly","2010","3.01",,"Gasoline and Diesel Retail Prices","2010",,,,,"12/06/2010","2010"
"Figure_4-5","2010-12-06T00:00:00.000","Diesel - weekly","2010","3.2",,"Gasoline and Diesel Retail Prices","2010",,,,,"12/06/2010","2010"
"Figure_4-5","2010-12-13T00:00:00.000","Gasoline - weekly","2010","3.04",,"Gasoline and Diesel Retail Prices","2010",,,,,"12/13/2010","2010"
"Figure_4-5","2010-12-13T00:00:00.000","Diesel - weekly","2010","3.23",,"Gasoline and Diesel Retail Prices","2010",,,,,"12/13/2010","2010"
"Figure_4-5","2010-12-20T00:00:00.000","Gasoline - weekly","2010","3.04",,"Gasoline and Diesel Retail Prices","2010",,,,,"12/20/2010","2010"
"Figure_4-5","2010-12-20T00:00:00.000","Diesel - weekly","2010","3.25",,"Gasoline and Diesel Retail Prices","2010",,,,,"12/20/2010","2010"
"Figure_4-5","2010-12-27T00:00:00.000","Gasoline - weekly","2010","3.11",,"Gasoline and Diesel Retail Prices","2010",,,,,"12/27/2010","2010"
"Figure_4-5","2010-12-27T00:00:00.000","Diesel - weekly","2010","3.29",,"Gasoline and Diesel Retail Prices","2010",,,,,"12/27/2010","2010"
"Figure_4-5","2011-01-03T00:00:00.000","Gasoline - weekly","2011","3.12",,"Gasoline and Diesel Retail Prices","2011",,,,,"01/03/2011","2011"
"Figure_4-5","2011-01-03T00:00:00.000","Diesel - weekly","2011","3.33",,"Gasoline and Diesel Retail Prices","2011",,,,,"01/03/2011","2011"
"Figure_4-5","2011-01-10T00:00:00.000","Gasoline - weekly","2011","3.14",,"Gasoline and Diesel Retail Prices","2011",,,,,"01/10/2011","2011"
"Figure_4-5","2011-01-10T00:00:00.000","Diesel - weekly","2011","3.33",,"Gasoline and Diesel Retail Prices","2011",,,,,"01/10/2011","2011"
"Figure_4-5","2011-01-17T00:00:00.000","Gasoline - weekly","2011","3.16",,"Gasoline and Diesel Retail Prices","2011",,,,,"01/17/2011","2011"
"Figure_4-5","2011-01-17T00:00:00.000","Diesel - weekly","2011","3.41",,"Gasoline and Diesel Retail Prices","2011",,,,,"01/17/2011","2011"
"Figure_4-5","2011-01-24T00:00:00.000","Gasoline - weekly","2011","3.16",,"Gasoline and Diesel Retail Prices","2011",,,,,"01/24/2011","2011"
"Figure_4-5","2011-01-24T00:00:00.000","Diesel - weekly","2011","3.43",,"Gasoline and Diesel Retail Prices","2011",,,,,"01/24/2011","2011"
"Figure_4-5","2011-01-31T00:00:00.000","Gasoline - weekly","2011","3.16",,"Gasoline and Diesel Retail Prices","2011",,,,,"01/31/2011","2011"
"Figure_4-5","2011-01-31T00:00:00.000","Diesel - weekly","2011","3.44",,"Gasoline and Diesel Retail Prices","2011",,,,,"01/31/2011","2011"
"Figure_4-5","2011-02-07T00:00:00.000","Gasoline - weekly","2011","3.19",,"Gasoline and Diesel Retail Prices","2011",,,,,"02/07/2011","2011"
"Figure_4-5","2011-02-07T00:00:00.000","Diesel - weekly","2011","3.51",,"Gasoline and Diesel Retail Prices","2011",,,,,"02/07/2011","2011"
"Figure_4-5","2011-02-14T00:00:00.000","Gasoline - weekly","2011","3.19",,"Gasoline and Diesel Retail Prices","2011",,,,,"02/14/2011","2011"
"Figure_4-5","2011-02-14T00:00:00.000","Diesel - weekly","2011","3.53",,"Gasoline and Diesel Retail Prices","2011",,,,,"02/14/2011","2011"
"Figure_4-5","2011-02-21T00:00:00.000","Gasoline - weekly","2011","3.24",,"Gasoline and Diesel Retail Prices","2011",,,,,"02/21/2011","2011"
"Figure_4-5","2011-02-21T00:00:00.000","Diesel - weekly","2011","3.57",,"Gasoline and Diesel Retail Prices","2011",,,,,"02/21/2011","2011"
"Figure_4-5","2011-02-28T00:00:00.000","Gasoline - weekly","2011","3.44",,"Gasoline and Diesel Retail Prices","2011",,,,,"02/28/2011","2011"
"Figure_4-5","2011-02-28T00:00:00.000","Diesel - weekly","2011","3.72",,"Gasoline and Diesel Retail Prices","2011",,,,,"02/28/2011","2011"
"Figure_4-5","2011-03-07T00:00:00.000","Gasoline - weekly","2011","3.57",,"Gasoline and Diesel Retail Prices","2011",,,,,"03/07/2011","2011"
"Figure_4-5","2011-03-07T00:00:00.000","Diesel - weekly","2011","3.87",,"Gasoline and Diesel Retail Prices","2011",,,,,"03/07/2011","2011"
"Figure_4-5","2011-03-14T00:00:00.000","Gasoline - weekly","2011","3.62",,"Gasoline and Diesel Retail Prices","2011",,,,,"03/14/2011","2011"
"Figure_4-5","2011-03-14T00:00:00.000","Diesel - weekly","2011","3.91",,"Gasoline and Diesel Retail Prices","2011",,,,,"03/14/2011","2011"
"Figure_4-5","2011-03-21T00:00:00.000","Gasoline - weekly","2011","3.62",,"Gasoline and Diesel Retail Prices","2011",,,,,"03/21/2011","2011"
"Figure_4-5","2011-03-21T00:00:00.000","Diesel - weekly","2011","3.91",,"Gasoline and Diesel Retail Prices","2011",,,,,"03/21/2011","2011"
"Figure_4-5","2011-03-28T00:00:00.000","Gasoline - weekly","2011","3.65",,"Gasoline and Diesel Retail Prices","2011",,,,,"03/28/2011","2011"
"Figure_4-5","2011-03-28T00:00:00.000","Diesel - weekly","2011","3.93",,"Gasoline and Diesel Retail Prices","2011",,,,,"03/28/2011","2011"
"Figure_4-5","2011-04-04T00:00:00.000","Gasoline - weekly","2011","3.74",,"Gasoline and Diesel Retail Prices","2011",,,,,"04/04/2011","2011"
"Figure_4-5","2011-04-04T00:00:00.000","Diesel - weekly","2011","3.98",,"Gasoline and Diesel Retail Prices","2011",,,,,"04/04/2011","2011"
"Figure_4-5","2011-04-11T00:00:00.000","Gasoline - weekly","2011","3.84",,"Gasoline and Diesel Retail Prices","2011",,,,,"04/11/2011","2011"
"Figure_4-5","2011-04-11T00:00:00.000","Diesel - weekly","2011","4.08",,"Gasoline and Diesel Retail Prices","2011",,,,,"04/11/2011","2011"
"Figure_4-5","2011-04-18T00:00:00.000","Gasoline - weekly","2011","3.9",,"Gasoline and Diesel Retail Prices","2011",,,,,"04/18/2011","2011"
"Figure_4-5","2011-04-18T00:00:00.000","Diesel - weekly","2011","4.11",,"Gasoline and Diesel Retail Prices","2011",,,,,"04/18/2011","2011"
"Figure_4-5","2011-04-25T00:00:00.000","Gasoline - weekly","2011","3.93",,"Gasoline and Diesel Retail Prices","2011",,,,,"04/25/2011","2011"
"Figure_4-5","2011-04-25T00:00:00.000","Diesel - weekly","2011","4.1",,"Gasoline and Diesel Retail Prices","2011",,,,,"04/25/2011","2011"
"Figure_4-5","2011-05-02T00:00:00.000","Gasoline - weekly","2011","4.01",,"Gasoline and Diesel Retail Prices","2011",,,,,"05/02/2011","2011"
"Figure_4-5","2011-05-02T00:00:00.000","Diesel - weekly","2011","4.12",,"Gasoline and Diesel Retail Prices","2011",,,,,"05/02/2011","2011"
"Figure_4-5","2011-05-09T00:00:00.000","Gasoline - weekly","2011","4.02",,"Gasoline and Diesel Retail Prices","2011",,,,,"05/09/2011","2011"
"Figure_4-5","2011-05-09T00:00:00.000","Diesel - weekly","2011","4.1",,"Gasoline and Diesel Retail Prices","2011",,,,,"05/09/2011","2011"
"Figure_4-5","2011-05-16T00:00:00.000","Gasoline - weekly","2011","4.01",,"Gasoline and Diesel Retail Prices","2011",,,,,"05/16/2011","2011"
"Figure_4-5","2011-05-16T00:00:00.000","Diesel - weekly","2011","4.06",,"Gasoline and Diesel Retail Prices","2011",,,,,"05/16/2011","2011"
"Figure_4-5","2011-05-23T00:00:00.000","Gasoline - weekly","2011","3.9",,"Gasoline and Diesel Retail Prices","2011",,,,,"05/23/2011","2011"
"Figure_4-5","2011-05-23T00:00:00.000","Diesel - weekly","2011","4",,"Gasoline and Diesel Retail Prices","2011",,,,,"05/23/2011","2011"
"Figure_4-5","2011-05-30T00:00:00.000","Gasoline - weekly","2011","3.85",,"Gasoline and Diesel Retail Prices","2011",,,,,"05/30/2011","2011"
"Figure_4-5","2011-05-30T00:00:00.000","Diesel - weekly","2011","3.95",,"Gasoline and Diesel Retail Prices","2011",,,,,"05/30/2011","2011"
"Figure_4-5","2011-06-06T00:00:00.000","Gasoline - weekly","2011","3.83",,"Gasoline and Diesel Retail Prices","2011",,,,,"06/06/2011","2011"
"Figure_4-5","2011-06-06T00:00:00.000","Diesel - weekly","2011","3.94",,"Gasoline and Diesel Retail Prices","2011",,,,,"06/06/2011","2011"
"Figure_4-5","2011-06-13T00:00:00.000","Gasoline - weekly","2011","3.77",,"Gasoline and Diesel Retail Prices","2011",,,,,"06/13/2011","2011"
"Figure_4-5","2011-06-13T00:00:00.000","Diesel - weekly","2011","3.95",,"Gasoline and Diesel Retail Prices","2011",,,,,"06/13/2011","2011"
"Figure_4-5","2011-06-20T00:00:00.000","Gasoline - weekly","2011","3.71",,"Gasoline and Diesel Retail Prices","2011",,,,,"06/20/2011","2011"
"Figure_4-5","2011-06-20T00:00:00.000","Diesel - weekly","2011","3.95",,"Gasoline and Diesel Retail Prices","2011",,,,,"06/20/2011","2011"
"Figure_4-5","2011-06-27T00:00:00.000","Gasoline - weekly","2011","3.63",,"Gasoline and Diesel Retail Prices","2011",,,,,"06/27/2011","2011"
"Figure_4-5","2011-06-27T00:00:00.000","Diesel - weekly","2011","3.89",,"Gasoline and Diesel Retail Prices","2011",,,,,"06/27/2011","2011"
"Figure_4-5","2011-07-04T00:00:00.000","Gasoline - weekly","2011","3.63",,"Gasoline and Diesel Retail Prices","2011",,,,,"07/04/2011","2011"
"Figure_4-5","2011-07-04T00:00:00.000","Diesel - weekly","2011","3.85",,"Gasoline and Diesel Retail Prices","2011",,,,,"07/04/2011","2011"
